id,name,point
# import geopandas as gpd
# import pandas as pd
# world = gpd.read_file(gpd.datasets.get_path('naturalearth_lowres'))
# europe=world.cx[-40:70, 35:85]
# centroids = europe.centroid
# centroid_list = pd.concat([europe.iso_a3, centroids], axis=1)
# centroid_list.to_csv('europe.csv')
0,AFG,POINT (66.08669022192834 33.85639928169076)
2,ALB,POINT (20.03242643144321 41.14135330604877)
5,ARM,POINT (45.00029001101479 40.21660761230144)
9,AUT,POINT (14.07615888433708 47.61394879274629)
10,AZE,POINT (49.0 40.22069060359235)
12,BEL,POINT (4.580831590651701 50.65244260645211)
16,BGR,POINT (25.19511095327711 42.75311876202169)
18,BIH,POINT (17.81688342129799 44.18076784138619)
19,BLR,POINT (27.98135398690368 53.50634440475127)
28,CHE,POINT (8.118300613385486 46.79173768366761)
#38,-99,POINT (33.5582859592249 35.27395768125972)
39,CYP,POINT (33.03955380295407 34.90706085094345)
40,CZE,POINT (15.33455810236581 49.77524529436901)
41,DEU,POINT (10.28848509274289 51.13372269040782)
43,DNK,POINT (9.87637293767504 56.06393446179454)
45,DZA,POINT (2.598047791618352 29.0)
47,EGY,POINT (29.84446151312439 29.0)
49,ESP,POINT (-3.617020602387373 40.34865610622673)
50,EST,POINT (25.82472837531991 58.64369524070697)
52,FIN,POINT (26.21176469739453 64.50409391856742)
55,FRA,POINT (2.0 46.0)
57,GBR,POINT (-2.853135395180542 53.91477348053708)
58,GEO,POINT (43.48154041978168 42.16201869983144)
64,GRC,POINT (22.7198134470951 39.066715899714)
65,GRL,POINT (-41.50018111492097 74.77048769398986)
69,HRV,POINT (16.56619110666215 45.01623436797108)
71,HUN,POINT (19.35762862774592 47.19995117195426)
74,IRL,POINT (-8.010236544877012 53.18059120995006)
75,IRN,POINT (54.28545149689144 32.51891731762542)
76,IRQ,POINT (43.75691141871339 33.03682234103672)
77,ISL,POINT (-18.76102877083177 65.07427633529105)
78,ISR,POINT (35.0038500487362 31.48491781496538)
79,ITA,POINT (12.1407883722359 42.75118305296424)
81,JOR,POINT (36.77945490632519 31.24549058474842)
83,KAZ,POINT (67.28460860746561 48.19166209249597)
#88,-99,POINT (20.8953524811979 42.57936482582593)
89,KWT,POINT (47.60009888762642 29.30726663403356)
91,LBN,POINT (35.87098632001643 33.91182720781994)
93,LBY,POINT (17.97435277916043 29.0)
96,LTU,POINT (23.88064027584349 55.28431948476604)
97,LUX,POINT (5.965223432343996 49.76570507415101)
98,LVA,POINT (24.83329614980346 56.80717513427928)
99,MAR,POINT (-8.420479544549645 29.8853946983021)
103,MKD,POINT (21.69789681614007 41.60592893075937)
106,MNE,POINT (19.28618096719827 42.78903833140131)
117,NLD,POINT (5.512217100965401 52.2987003744418)
118,NOR,POINT (8.0 61.0)
127,POL,POINT (19.31101430844868 52.14826021933183)
130,PRT,POINT (-8.055765588295687 39.63404977497817)
132,PSE,POINT (35.27331962289026 31.94113662241515)
134,ROU,POINT (24.9432524946354 45.85710103573802)
135,RUS,POINT (40.0 58.0)
147,SRB,POINT (20.81965126743019 44.23303720363518)
149,SVK,POINT (19.5076571474337 48.7267113517275)
150,SVN,POINT (14.93815232079573 46.12542205901038)
151,SWE,POINT (16.59626584684802 62.81148496808033)
153,SYR,POINT (38.54423941961137 35.012614281129)
157,TJK,POINT (71.03443504896107 38.5830814642108)
158,TKM,POINT (59.27543026236143 39.09124018017582)
161,TUN,POINT (9.534716120695833 34.17293903688238)
162,TUR,POINT (35.11690130804055 39.06837174141658)
166,UKR,POINT (31.36953308035628 48.97301796820209)
169,UZB,POINT (63.20363952823172 41.74860266465218)
# move Moldova to the end, small but might interfere with UKR and ROU
100,MDA,POINT (28.41048279080329 47.20367642606753)
